Vehicle full name,Manufacturing,Model,Top speed (km/hr),Price (INR),Fuel Type,Wheelers type,Battery capacity [kWh],Full charging time (HR),Kerb weight (KG),Range (km/hr),Fast Charging, Drive Type, Number of Seats,boot space (L), Number of Airbags,Type of brakes,Max Torque (N-M),Type of Vehicle
Toyota Vellfire,Toyota,Vellfire,170,8990000,Hybrid,Four wheeler,1.6,,2065,951,NO,4WD,7,616,7,disc (front + rear),198,Cars
Tesla Model 3,Tesla,Model 3,261,6000000,Electric,Four wheeler,50,15,1730,507,YES,RWD,5,425,4,,639,Cars
Ashok Leyland,Ashok Leyland,Ashok Leyland Versa Electric Bus,95,3500000,Electric,Eight wheeler,300,8,16200,144,Yes,,44,,,disc (front + rear),600,Bus
JBM Auto ,JBM Auto Limited ,JBM Ecolife Electric bus ,,,Electric,Eight wheeler,,,,,Yes,,30,,,disc (front + rear),,Bus
Tata Motors ,Tata Motors,Tata Ultra 9/9m Non AC Electric Bus BS VI Electric,75,2100000,Electric,Eight wheeler,124,2.5,,150,Yes,,31,,,disc (front + rear),3000,Bus
Tata Motors ,Tata Motors,Tata Urban 9/12m AC Electric Bus BS VI Electric,76,210000,Electric,Eight wheeler,,3,,150,Yes,,40,,,disc (front + rear),,Bus
Tata Motors ,Tata Motors,Starbus Ev: Tata 4/12m Low Entry AC Electric Bus Vi Electric,7,220000,Electric,Eight wheeler,,3,,200,Yes,,35,,,disc (front + rear),,Bus
Tata Motors ,Tata Motors,Starbus Ev: Tata 4/12m Low Floor AC Electric Bus BS Vi Electric,65,220000,Electric,Eight wheeler,,3,,200,Yes,,35,,,disc (front + rear),,Bus
Tata Motors ,Tata Motors,STARBUS EV: Tata 4/12m Low Floor Non AC Electric bus BS VI Electric,65,,Electric,Eight wheeler,250,3,,200,Yes,,31,,,disc (front + rear),,Bus
Tata Motors ,Tata Motors,Tata Ultra 9/9 AC electric Bus,75,16000000,Electric,Eight wheeler,124,2.5,,150,Yes,,31,,,front disc brakes,3000,Bus
Electric Bus K9 ,Olectra Greentech Limited ,Electric Bus K9 ,70,15000000,Electric,Eight wheeler,,4.5,,300,Yes,,39,,,disc (front + rear),800,Bus
SKYPARK Bus ,Deccan Auto Limited  ,SKYPARK Bus ,,,Electric,Eight wheeler,,,,,Yes,,43,,,disc (front + rear),,Bus
Skyline Pro ,Eicher Motors Limited ,Skyline Pro ,,,Electric,Eight wheeler,,,,,Yes,,35,,,disc (front + rear),,Bus
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
